2016-05-20	1	4
2016-05-20	2	14
2016-05-20	3	11
2016-05-20	5	4
2016-05-21	0	9
2016-05-21	1	83
2016-05-21	2	99
2016-05-21	3	24
2016-05-21	4	6
2016-05-21	5	26
2016-05-21	6	1
2016-05-22	0	10
2016-05-22	1	100
2016-05-22	2	75
2016-05-22	3	27
2016-05-22	4	6
2016-05-22	5	29
2016-05-22	6	5
2016-05-23	0	9
2016-05-23	1	78
2016-05-23	2	131
2016-05-23	3	28
2016-05-23	4	7
2016-05-23	5	26
2016-05-23	6	2
2016-05-24	0	5
2016-05-24	1	89
2016-05-24	2	126
2016-05-24	3	41
2016-05-24	4	7
2016-05-24	5	19
2016-05-25	0	8
2016-05-25	1	90
2016-05-25	2	108
2016-05-25	3	57
2016-05-25	4	9
2016-05-25	5	24
2016-05-25	6	1
2016-05-26	0	7
2016-05-26	1	108
2016-05-26	2	112
2016-05-26	3	32
2016-05-26	4	4
2016-05-26	5	15
2016-05-26	6	3
2016-05-27	0	8
2016-05-27	1	117
2016-05-27	2	101
2016-05-27	3	57
2016-05-27	4	11
2016-05-27	5	22
2016-05-27	6	4
2016-05-27	7	1
2016-05-28	0	5
2016-05-28	1	95
2016-05-28	2	101
2016-05-28	3	40
2016-05-28	4	3
2016-05-28	5	23
2016-05-28	6	2
2016-05-28	7	1
2016-05-29	0	6
2016-05-29	1	95
2016-05-29	2	105
2016-05-29	3	31
2016-05-29	4	6
2016-05-29	5	30
2016-05-29	6	2
2016-05-30	0	6
2016-05-30	1	116
2016-05-30	2	96
2016-05-30	3	32
2016-05-30	4	3
2016-05-30	5	28
2016-05-30	6	5
2016-05-31	0	11
2016-05-31	1	81
2016-05-31	2	120
2016-05-31	3	37
2016-05-31	4	11
2016-05-31	5	18
2016-05-31	6	2
2016-05-31	7	1
2016-06-01	0	3
2016-06-01	1	87
2016-06-01	2	128
2016-06-01	3	41
2016-06-01	4	6
2016-06-01	5	18
2016-06-01	6	4
2016-06-01	7	1
2016-06-02	0	7
2016-06-02	1	96
2016-06-02	2	141
2016-06-02	3	45
2016-06-02	4	20
2016-06-02	5	17
2016-06-02	6	2
2016-06-03	0	16
2016-06-03	1	88
2016-06-03	2	120
2016-06-03	3	42
2016-06-03	4	8
2016-06-03	5	26
2016-06-03	6	2
2016-06-04	0	25
2016-06-04	1	87
2016-06-04	2	77
2016-06-04	3	32
2016-06-04	4	7
2016-06-04	5	12
2016-06-04	6	3
2016-06-05	0	16
2016-06-05	1	106
2016-06-05	2	101
2016-06-05	3	38
2016-06-05	4	4
2016-06-05	5	17
2016-06-05	6	5
2016-06-05	7	1
2016-06-06	0	11
2016-06-06	1	105
2016-06-06	2	97
2016-06-06	3	35
2016-06-06	4	5
2016-06-06	5	19
2016-06-06	6	2
2016-06-06	7	1
2016-06-07	0	9
2016-06-07	1	88
2016-06-07	2	122
2016-06-07	3	40
2016-06-07	4	4
2016-06-07	5	16
2016-06-07	6	4
2016-06-07	7	2
2016-06-08	0	11
2016-06-08	1	89
2016-06-08	2	107
2016-06-08	3	37
2016-06-08	4	4
2016-06-08	5	13
2016-06-08	6	4
2016-06-09	0	9
2016-06-09	1	111
2016-06-09	2	155
2016-06-09	3	37
2016-06-09	4	11
2016-06-09	5	14
2016-06-09	6	1
2016-06-09	7	1
2016-06-10	0	7
2016-06-10	1	595
2016-06-10	2	293
2016-06-10	3	61
2016-06-10	4	12
2016-06-10	5	12
2016-06-10	6	8
2016-06-10	7	2
2016-06-11	0	10
2016-06-11	1	324
2016-06-11	2	166
2016-06-11	3	28
2016-06-11	4	10
2016-06-11	5	12
2016-06-12	0	7
2016-06-12	1	233
2016-06-12	2	119
2016-06-12	3	30
2016-06-12	4	6
2016-06-12	5	10
2016-06-12	6	1
2016-06-13	1	171
2016-06-13	2	124
2016-06-13	3	30
2016-06-13	4	6
2016-06-13	5	14
2016-06-13	6	4
2016-06-14	0	12
2016-06-14	1	128
2016-06-14	2	124
2016-06-14	3	43
2016-06-14	4	7
2016-06-14	5	8
2016-06-14	6	5
2016-06-14	7	1
2016-06-15	0	8
2016-06-15	1	117
2016-06-15	2	137
2016-06-15	3	39
2016-06-15	4	5
2016-06-15	5	7
2016-06-15	6	4
2016-06-16	0	3
2016-06-16	1	103
2016-06-16	2	101
2016-06-16	3	22
2016-06-16	4	8
2016-06-16	5	3
2016-06-16	6	5
2016-06-17	0	7
2016-06-17	1	93
2016-06-17	2	113
2016-06-17	3	28
2016-06-17	4	4
2016-06-17	5	10
2016-06-17	6	3
2016-06-18	0	4
2016-06-18	1	77
2016-06-18	2	66
2016-06-18	3	20
2016-06-18	4	6
2016-06-18	5	13
2016-06-18	6	4
2016-06-19	0	5
2016-06-19	1	66
2016-06-19	2	66
2016-06-19	3	18
2016-06-19	4	8
2016-06-19	5	13
2016-06-19	6	3
2016-06-19	7	1
